契約月份,最後結算日,臺指選擇權(TXO)
202106,2021/06/16,17346
202106W2,2021/06/09,16947
202106W1,2021/06/02,17178
202105W4,2021/05/26,16636
202105,2021/05/19,16137
202105W2,2021/05/12,15901
202105W1,2021/05/05,16892
202104W4,2021/04/28,17544
202104,2021/04/21,17232
202104W2,2021/04/14,16816
202104W1,2021/04/07,16793
202103W5,2021/03/31,16444
202103W4,2021/03/24,16029
202103,2021/03/17,16177
202103W2,2021/03/10,15877
202103W1,2021/03/03,16183
202102W4,2021/02/24,16235
202102,2021/02/17,16326
202102W1,2021/02/03,15767
202101W4,2021/01/27,15749
202101,2021/01/20,15766
202101W2,2021/01/13,15760
202101W1,2021/01/06,14934
202012W5,2020/12/30,14652
202012W4,2020/12/23,14234
202012,2020/12/16,14323
202012W2,2020/12/09,14398
202012W1,2020/12/02,13981
202011W4,2020/11/25,13753
202011,2020/11/18,13756
202011W2,2020/11/11,13249
202011W1,2020/11/04,12865
202010W4,2020/10/28,12771
202010,2020/10/21,12860
202010W2,2020/10/14,12900
202010W1,2020/10/07,12759
202009W5,2020/09/30,12529
202009W4,2020/09/23,12577
202009,2020/09/16,12969
202009W2,2020/09/09,12592
202009W1,2020/09/02,12668
202008W4,2020/08/26,12799
202008,2020/08/19,12807
202008W2,2020/08/12,12659
202008W1,2020/08/05,12793
202007W5,2020/07/29,12530
202007W4,2020/07/22,12451
202007,2020/07/15,12220
202007W2,2020/07/08,12180
202007W1,2020/07/01,11702
202006W4,2020/06/24,11652
202006,2020/06/17,11520
202006W2,2020/06/10,11714
202006W1,2020/06/03,11321
202005W4,2020/05/27,11010
202005,2020/05/20,10887
202005W2,2020/05/13,10924
202005W1,2020/05/06,10757
202004W5,2020/04/29,10764
202004W4,2020/04/22,10285
202004,2020/04/15,10451
202004W2,2020/04/08,10131
202004W1,2020/04/01,9684
202003W4,2020/03/25,9625
202003,2020/03/18,9264
202003W2,2020/03/11,10907
202003W1,2020/03/04,11379
202002W4,2020/02/26,11433
202002,2020/02/19,11760
202002W2,2020/02/12,11793
202002W1,2020/02/05,11560
202001W4,2020/01/30,11436
202001,2020/01/15,12063
202001W2,2020/01/08,11840
202001W1,2020/01/02,12102
201912W4,2019/12/25,12016
201912,2019/12/18,12119
201912W2,2019/12/11,11680
201912W1,2019/12/04,11474
201911W4,2019/11/27,11641
201911,2019/11/20,11608
201911W2,2019/11/13,11476
201911W1,2019/11/06,11655
201910W5,2019/10/30,11368
201910W4,2019/10/23,11217
201910,2019/10/16,11146
201910W2,2019/10/09,10911
201910W1,2019/10/02,10953
201909W4,2019/09/25,10841
201909,2019/09/18,10960
201909W2,2019/09/11,10753
201909W1,2019/09/04,10657
201908W4,2019/08/28,10426
201908,2019/08/21,10528
201908W2,2019/08/14,10444
201908W1,2019/08/07,10383
201907W5,2019/07/31,10814
201907W4,2019/07/24,10923
201907,2019/07/17,10831
201907W2,2019/07/10,10792
201907W1,2019/07/03,10729
201906W4,2019/06/26,10665
201906,2019/06/19,10770
201906W2,2019/06/12,10620
201906W1,2019/06/05,10461
201905W5,2019/05/29,10290
201905W4,2019/05/22,10474
201905,2019/05/15,10580
201905W2,2019/05/08,10935
201905W1,2019/05/02,10999
201904W4,2019/04/24,11002
201904,2019/04/17,11005
201904W2,2019/04/10,10866
201904W1,2019/04/03,10724
201903W4,2019/03/27,10541
201903,2019/03/20,10545
201903W2,2019/03/13,10365
201903W1,2019/03/06,10340
201902W4,2019/02/27,10376
201902,2019/02/20,10256
201902W2,2019/02/13,10100
201902W1,2019/02/11,10020
201901W5,2019/01/30,9930
201901W4,2019/01/23,9837
201901,2019/01/16,9784
201901W2,2019/01/09,9735
201901W1,2019/01/02,9550
201812W4,2018/12/26,9489
201812,2018/12/19,9768
201812W2,2018/12/12,9829
201812W1,2018/12/05,9904
201811W4,2018/11/28,9874
201811,2018/11/21,9743
201811W2,2018/11/14,9788
201811W1,2018/11/07,9889
201810W5,2018/10/31,9733
201810W4,2018/10/24,9774
201810,2018/10/17,9994
201810W2,2018/10/11,9819
201810W1,2018/10/03,10852
201809W4,2018/09/26,10962
201809,2018/09/19,10872
201809W2,2018/09/12,10724
201809W1,2018/09/05,11000
201808W5,2018/08/29,11061
201808W4,2018/08/22,10791
201808,2018/08/15,10737
201808W2,2018/08/08,11056
201808W1,2018/08/01,11085
201807W4,2018/07/25,10970
201807,2018/07/18,10844
201807W2,2018/07/11,10655
201807W1,2018/07/04,10729
201806W4,2018/06/27,10728
201806,2018/06/20,10936
201806W2,2018/06/13,11169
201806W1,2018/06/06,11200
201805W5,2018/05/30,10835
201805W4,2018/05/23,10919
201805,2018/05/16,10872
